lowest acceptable price	最低可接受價格
minimum acceptable price	最低可接受價格
floor price	底價
cost price	成本價
ex-factory price	出廠價
base price	基礎價格
best price	最優惠報價
Best price	最優惠報價
account owner	客戶業務負責人
bank account owner	銀行帳戶持有人
sales representative	業務代表
freight	運費
shipping cost	運費
commission	佣金
markup	加價
surcharge	附加費
taxes and duties	稅費
can do more	還可以做更多
Instead of only	除了
instead of only	除了
customer account owner	客戶業務負責人
Customer account owner	客戶業務負責人
please ask	請詢問
Please ask	請詢問
reply only	只回覆
Reply only	只回覆
